id,designer,links,description
1,10_Crosby_by_Derek_Lam,http://www.theoutnet.com/en-US/Shop/Designers/10_Crosby_by_Derek_Lam,"Derek Lam is an American fashion designer, known for a calculated simplicity and modern sensibility. In addition to designing his own line, Lam was Tod's Creative Director for ready-to-wear and accessories from 2005 until 2010."
2,1205,http://www.theoutnet.com/en-US/Shop/Designers/1205,"There is no description available for this label, but you can still click the link to see their styles!"
3,31_Phillip_Lim,http://www.theoutnet.com/en-US/Shop/Designers/31_Phillip_Lim,31 Phillip Lim is Lim's fashion label. It is projected to have sales of 60 million USD in 2011.
4,3x1,http://www.theoutnet.com/en-US/Shop/Designers/3x1,"There is no description available for this label, but you can still click the link to see their styles!"
5,8,http://www.theoutnet.com/en-US/Shop/Designers/8,"There is no description available for this label, but you can still click the link to see their styles!"
6,ALC,http://www.theoutnet.com/en-US/Shop/Designers/ALC,"A.L.C is a Los Angeles-based women’s ready-to-wear fashion brand, founded in 2009 by Andrea Lieberman.
Andrea Lieberman began her career as a stylist in New York City, working primarily in the music industry with hip hop figures such as Sean Combs and musicians such as Jennifer Lopez and Gwen Stefani.  Her styling projects included music videos, red-carpet appearances, and music tour costumes.
"
7,APC_Atelier_de_Production_et_de_Creation,http://www.theoutnet.com/en-US/Shop/Designers/APC_Atelier_de_Production_et_de_Creation,"There is no description available for this label, but you can still click the link to see their styles!"
8,Acne_Studios,http://www.theoutnet.com/en-US/Shop/Designers/Acne_Studios,"Acne Studios is a multidisciplinary fashion house based in Stockholm, Sweden with own-brand retail stores in locations around the world. It was founded in 1996 as part of the creative collective ACNE. The fashion house offers men's and women's ready-to-wear fashion, footwear, accessories and denim, as well as special artistic collaborations and one-off projects."
9,Adam_Lippes,http://www.theoutnet.com/en-US/Shop/Designers/Adam_Lippes,"Adam Lippes (born December 24, 1972) is an American fashion designer who came to prominence at Oscar de la Renta and has had his own company since 2004."
10,Adidas_by_Stella_McCartney,http://www.theoutnet.com/en-US/Shop/Designers/Adidas_by_Stella_McCartney,"In September 2004, top English fashion designer Stella McCartney launched a joint-venture line with Adidas, establishing a long-term partnership with the corporation. This line is a sports performance collection for women called ""Adidas by Stella McCartney"", and it has been critically acclaimed.

"
